username,date_time,top,bottom,footwear,outerwear,occasion,weather,favorite
Anushkatiw,2025-07-30 19:11:20,Anushkatiw_20250730164530_Photo on 28-01-25 at 9.00 PM #2.jpg,,,,Casual,Sunny,True
Anushkatiw,2025-07-30 21:41:03,Anushkatiw_20250730164530_Photo on 28-01-25 at 9.00 PM #2.jpg,,,,Casual,Cold,False
